Saldus novads,Saldus apriņķis,Bērni,Saldus novada Druvas vidusskolas bērnu deju kolektīvs “Mazais Puzurs” ,Agita Skrebele,"37,0",II pakāpe,"37,0",0
Priekuļu novads,Cēsu apriņķis,Bērni,"Priekuļu novada Priekuļu pagasta Priekuļu vidusskolas Bērnu deju kolektīvs ""Miķelēni""",Māris Brasliņš,"36,3",II pakāpe,"36,3",0
Salacgrīvas novads,Limbažu apriņķis,Bērni,"Salacgrīvas vidusskolas Bērnu deju kolektīvs ""Vēverīši""",Anita Gīze,"36,3",II pakāpe,"36,3",0
Saulkrastu novads,Siguldas apriņķis,Bērni,"Saulkrastu novada Saulkrastu vidusskolas Bērnu deju kolektīvs ""Saulīte""",Jānis Trezuns,"36,3",II pakāpe,"36,3",0
Limbažu novads,Limbažu apriņķis,Bērni,"Skultes pagasta Skultes Kultūras intergrācijas centra Bērnu deju kolektīvs ""Ziķeri""",Elīna Medne,"34,3","III pakāpe 
Neizvirzīt 2018.gada skatēm","34,3",0
Smiltenes novads,Smiltenes apriņķis,Bērni,"Smiltenes Bērnu un jauniešu interešu izglītības centra Bērnu deju kolektīvs ""Knēvelīši""",Laura Reimane,"34,3","III pakāpe 
Neizvirzīt 2018.gada skatēm","34,3",0
Salacgrīvas novads,Limbažu apriņķis,Bērni,"Liepupes vidusskolas Bērnu deju kolektīvs ""Liepupīte""",Jānis Trezuns,"33,7","III pakāpe 
Neizvirzīt 2018.gada skatēm","33,7",0
Limbažu novads,Limbažu apriņķis,Bērni,"Viļķenes pagasta kultūras nama Bērnu deju kolektīvs ""Trejdeviņi""",Baiba Adamoviča,"30,5","III pakāpe 
Neizvirzīt 2018.gada skatēm","30,5",0
Jaunjelgavas novads,Aizkraukles apriņķis,Bērni,"Jaunjelgavas novada Daudzes pamatskolas tautas deju kolektīvs ""Sienāzītis""",Maruta Mīlīga,"25,2",Diploms par piedalīšanos neizvirzīt 2018.gada skatēm,"25,2",0
Saldus novads,Saldus apriņķis,Bērni,"Saldus novada Pašvaldības aģentūras “Saldus Tūrisma informācijas, kultūras un sporta centrs” bērnu deju kolektīvs “Dzīpars”    ",Baiba Rāzna,"21,3","Diploms par piedalīšanos
Neizvirzīt 2018.gada skatēm","21,3",0
Gulbenes novads,Gulbenes apriņķis,B,"Gulbenes Kultūras centra Jauniešu deju kolektīvs ""Zelta Rūsiņš""",Edīte Ķikuste,"58,8",Augstākā pakāpe,"48,8",10
Priekuļu novads,Cēsu apriņķis,B,"Priekuļu novada Priekuļu pagasta kultūras nama Jauniešu deju kolektīvs ""Zelta Virpulis""",Uldis Blīgzna,"58,5",Augstākā pakāpe,"48,5",10
Kuldīgas novads,Kuldīgas apriņķis,B,Kuldīgas novada Pašvaldības aģentūras  “Kuldīgas kultūras centrs” Tautas deju ansamblis “Venta”    ,Zita Serdante,"58,3",Augstākā pakāpe,"48,3",10
Rīgas pilsēta,Rīgas pilsēta,B,Rīgas pašvaldības kultūras iestāžu apvienības koncertorganizācijas „Ave Sol” Tautas deju ansambļa „Teiksma” studija,Inga Pulmane,"58,3",Augstākā pakāpe,"48,3",10
